"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"123",Birth_TPHE_C26,voi,0.2058,1.228,0.4122,0.7872
"124",Birth_TPHE_C27,voi,0.3096,1.363,0.1531,0.448364285714286
"125",Discharge_TPHE_C1,voi,0.4941,1.639,0.01901,0.167016428571429
"126",Discharge_TPHE_C2,voi,0.04976,1.051,0.7898,0.955534285714286
"127",Discharge_TPHE_C3,voi,0.05799,1.06,0.7789,0.955534285714286
"128",Discharge_TPHE_C4,voi,-0.009021,0.991,0.969,0.989103734439834
"129",Discharge_TPHE_C5,voi,0.396,1.486,0.06722,0.29315
"130",Discharge_TPHE_C6,voi,0.4508,1.57,0.02475,0.20295
"131",Discharge_TPHE_C8,voi,-0.1538,0.8575,0.4777,0.885415037593985
"132",Discharge_TPHE_C9,voi,0.3248,1.384,0.1969,0.538193333333333
"133",Discharge_TPHE_C10,voi,-0.1483,0.8622,0.4832,0.887068656716418
"134",Discharge_TPHE_C11,voi,0.4514,1.571,0.01187,0.132728181818182
"135",Discharge_TPHE_C12,voi,-0.03433,0.9663,0.8612,0.957717948717949
"136",Discharge_TPHE_C13,voi,0.03826,1.039,0.849,0.957717948717949
"137",Discharge_TPHE_C14,voi,0.07024,1.073,0.723,0.947291191709845
"138",Discharge_TPHE_C15,voi,0.1098,1.116,0.5875,0.926757692307692
"139",Discharge_TPHE_C16,voi,-0.2363,0.7896,0.2009,0.543092307692308
"140",Discharge_TPHE_C17,voi,0.04692,1.048,0.8396,0.957717948717949
"141",Discharge_TPHE_C18,voi,-0.1257,0.8819,0.5039,0.89825652173913
"142",Discharge_TPHE_C20,voi,0.3262,1.386,0.112,0.3936
"143",Discharge_TPHE_C21,voi,0.09646,1.101,0.6723,0.947291191709845
"144",Discharge_TPHE_C22,voi,-0.1527,0.8584,0.4054,0.785262992125984
"145",Discharge_TPHE_C23,voi,0.1169,1.124,0.572,0.926757692307692
"146",Discharge_TPHE_C24,voi,0.2289,1.257,0.2691,0.644854368932039
"147",Discharge_TPHE_C25,voi,-0.002672,0.9973,0.9901,0.9901
"148",Discharge_TPHE_C26,voi,-0.009894,0.9902,0.9639,0.989103734439834
"149",Discharge_TPHE_C27,voi,0.2315,1.261,0.2301,0.595837894736842
"150",OneYear_TPHE_C1,voi,0.6192,1.857,0.0005444,0.0221290666666667
"151",OneYear_TPHE_C2,voi,-0.1363,0.8726,0.516,0.904791489361702
"152",OneYear_TPHE_C3,voi,0.3787,1.46,0.05746,0.285311764705882
"153",OneYear_TPHE_C4,voi,0.2698,1.31,0.2853,0.652127777777778
"154",OneYear_TPHE_C5,voi,-0.3631,0.6955,0.04999,0.285311764705882
"155",OneYear_TPHE_C6,voi,0.1948,1.215,0.3565,0.749564102564103
"156",OneYear_TPHE_C8,voi,-0.02618,0.9742,0.911,0.957717948717949
"157",OneYear_TPHE_C9,voi,0.3585,1.431,0.1719,0.491713953488372
"158",OneYear_TPHE_C10,voi,0.179,1.196,0.5012,0.89825652173913
"159",OneYear_TPHE_C11,voi,0.5795,1.785,0.002513,0.0471441428571429
"160",OneYear_TPHE_C12,voi,0.06018,1.062,0.775,0.955534285714286
"161",OneYear_TPHE_C13,voi,0.07871,1.082,0.717,0.947291191709845
"162",OneYear_TPHE_C14,voi,-0.004515,0.9955,0.9815,0.9901
"163",OneYear_TPHE_C15,voi,0.07176,1.074,0.7335,0.947291191709845
"164",OneYear_TPHE_C16,voi,0.3626,1.437,0.03947,0.269711666666667
"165",OneYear_TPHE_C17,voi,-0.2501,0.7788,0.1966,0.538193333333333
"166",OneYear_TPHE_C18,voi,-0.08581,0.9178,0.674,0.947291191709845
"167",OneYear_TPHE_C20,voi,0.0885,1.093,0.6627,0.947291191709845
"168",OneYear_TPHE_C21,voi,-0.06998,0.9324,0.7296,0.947291191709845
"169",OneYear_TPHE_C22,voi,-0.06882,0.9335,0.7322,0.947291191709845
"170",OneYear_TPHE_C23,voi,-0.1853,0.8309,0.3721,0.762805
"171",OneYear_TPHE_C24,voi,0.06947,1.072,0.7504,0.951538144329897
"172",OneYear_TPHE_C25,voi,-0.049,0.9522,0.8333,0.957717948717949
"173",OneYear_TPHE_C26,voi,-0.08318,0.9202,0.6969,0.947291191709845
"174",OneYear_TPHE_C27,voi,0.324,1.383,0.1359,0.429410126582279
"175",Birth_TPHE_CD8_C1,voi,0.5173,1.678,0.007472,0.102117333333333
"176",Birth_TPHE_CD8_C2,voi,-0.08841,0.9154,0.666,0.947291191709845
"177",Birth_TPHE_CD8_C3,voi,0.2683,1.308,0.2569,0.631974
"178",Birth_TPHE_CD8_C4,voi,-0.1037,0.9015,0.5851,0.926757692307692
"179",Birth_TPHE_CD8_C5,voi,0.02656,1.027,0.8837,0.957717948717949
"180",Birth_TPHE_CD8_C6,voi,0.07925,1.082,0.7085,0.947291191709845
