"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"37",Discharge_CD4_C5,voi,-0.03843,0.9623,0.6457,0.97614213836478
"38",Discharge_CD4_C6,voi,-0.06591,0.9362,0.533,0.916221232876712
"39",Discharge_CD4_C7,voi,0.001398,1.001,0.987,0.9944
"40",Discharge_CD4_C8,voi,-0.05545,0.9461,0.5818,0.939528378378378
"41",Discharge_CD4_C9,voi,0.03337,1.034,0.721,0.991044382022472
"42",Discharge_CD4_C10,voi,0.02331,1.024,0.8042,0.9944
"43",Discharge_CD4_C11,voi,-0.09568,0.9088,0.3056,0.817721428571429
"44",Discharge_CD4_C12,voi,-0.09067,0.9133,0.3581,0.830931067961165
"45",Discharge_CD4_C13,voi,0.03181,1.032,0.766,0.9944
"46",Discharge_CD4_C14,voi,0.1621,1.176,0.09693,0.720259090909091
"47",Discharge_CD4_C15,voi,-0.006811,0.9932,0.939,0.9944
"48",Discharge_CD4_C16,voi,-0.1601,0.8521,0.07696,0.720259090909091
"49",Discharge_CD4_C17,voi,-0.08803,0.9157,0.3827,0.836292173913043
"50",Discharge_CD4_C18,voi,-0.1321,0.8762,0.2126,0.739168115942029
"51",Discharge_CD8_C1,voi,-0.01066,0.9894,0.8977,0.9944
"52",Discharge_CD8_C2,voi,-0.053,0.9484,0.5537,0.916221232876712
"53",Discharge_CD8_C3,voi,0.01288,1.013,0.882,0.9944
"54",Discharge_CD8_C4,voi,-0.09269,0.9115,0.3991,0.836292173913043
"55",Discharge_CD8_C5,voi,0.001058,1.001,0.9906,0.9944
"56",Discharge_CD8_C6,voi,-0.0227,0.9776,0.811,0.9944
"57",Discharge_CD8_C7,voi,-0.1021,0.9029,0.322,0.817721428571429
"58",Discharge_CD8_C8,voi,0.03211,1.033,0.7356,0.991044382022472
"59",Discharge_CD8_C9,voi,0.01812,1.018,0.8445,0.9944
"60",Discharge_CD8_C10,voi,-0.01201,0.9881,0.8918,0.9944
"61",Discharge_CD8_C11,voi,-0.01806,0.9821,0.8458,0.9944
"62",Discharge_CD8_C12,voi,-0.006252,0.9938,0.944,0.9944
"63",OneYear_CD4_C1,voi,-0.07336,0.9293,0.4561,0.89350737704918
"64",OneYear_CD4_C2,voi,-0.1383,0.8708,0.2649,0.794746987951807
"65",OneYear_CD4_C3,voi,-0.1258,0.8818,0.2717,0.794746987951807
