estimate,std.error,statistic,p.value,term,response,voi,produced_warning
0.04743,0.09839,0.482,0.6298,voi,NAS_1,Birth_TPHE_C6,FALSE
NA,NA,NA,0.633095289326137,anova,NAS_1,Birth_TPHE_C6,NA
3.694,0.1039,35.57,0,log_alpha,NAS_1,Birth_TPHE_C8,FALSE
0.9759,0.1325,7.365,1.767e-13,log_beta,NAS_1,Birth_TPHE_C8,FALSE
-0.1655,0.2194,-0.7543,0.4506,MODVaginal,NAS_1,Birth_TPHE_C8,FALSE
0.09757,0.09114,1.071,0.2844,voi,NAS_1,Birth_TPHE_C8,FALSE
NA,NA,NA,0.29034464713661745,anova,NAS_1,Birth_TPHE_C8,NA
3.696,0.1012,36.52,0,log_alpha,NAS_1,Birth_TPHE_C9,FALSE
1,0.1334,7.495,6.617e-14,log_beta,NAS_1,Birth_TPHE_C9,FALSE
-0.1354,0.213,-0.6356,0.525,MODVaginal,NAS_1,Birth_TPHE_C9,FALSE
0.1455,0.08429,1.727,0.08425,voi,NAS_1,Birth_TPHE_C9,FALSE
NA,NA,NA,0.09502262864396016,anova,NAS_1,Birth_TPHE_C9,NA
3.695,0.1042,35.46,0,log_alpha,NAS_1,Birth_TPHE_C10,FALSE
0.9716,0.1327,7.324,2.409e-13,log_beta,NAS_1,Birth_TPHE_C10,FALSE
-0.1875,0.226,-0.8296,0.4068,MODVaginal,NAS_1,Birth_TPHE_C10,FALSE
0.07599,0.08855,0.8581,0.3909,voi,NAS_1,Birth_TPHE_C10,FALSE
NA,NA,NA,0.39396932452407984,anova,NAS_1,Birth_TPHE_C10,NA
3.703,0.1037,35.7,0,log_alpha,NAS_1,Birth_TPHE_C11,FALSE
0.9715,0.1332,7.291,3.071e-13,log_beta,NAS_1,Birth_TPHE_C11,FALSE
-0.1435,0.2196,-0.6534,0.5135,MODVaginal,NAS_1,Birth_TPHE_C11,FALSE
0.06549,0.09672,0.677,0.4984,voi,NAS_1,Birth_TPHE_C11,FALSE
NA,NA,NA,0.507558357857071,anova,NAS_1,Birth_TPHE_C11,NA
3.707,0.103,36,0,log_alpha,NAS_1,Birth_TPHE_C12,FALSE
0.987,0.1327,7.439,1.015e-13,log_beta,NAS_1,Birth_TPHE_C12,FALSE
-0.2198,0.2236,-0.983,0.3256,MODVaginal,NAS_1,Birth_TPHE_C12,FALSE
0.1545,0.1064,1.453,0.1463,voi,NAS_1,Birth_TPHE_C12,FALSE
NA,NA,NA,0.14589865456031048,anova,NAS_1,Birth_TPHE_C12,NA
3.682,0.1026,35.9,0,log_alpha,NAS_1,Birth_TPHE_C13,FALSE
0.9943,0.1326,7.501,6.35e-14,log_beta,NAS_1,Birth_TPHE_C13,FALSE
-0.2273,0.223,-1.019,0.308,MODVaginal,NAS_1,Birth_TPHE_C13,FALSE
-0.1741,0.1003,-1.735,0.08267,voi,NAS_1,Birth_TPHE_C13,FALSE
NA,NA,NA,0.09633112406578581,anova,NAS_1,Birth_TPHE_C13,NA
3.71,0.1016,36.53,0,log_alpha,NAS_1,Birth_TPHE_C14,FALSE
0.9963,0.1335,7.465,8.304e-14,log_beta,NAS_1,Birth_TPHE_C14,FALSE
-0.1661,0.2157,-0.7701,0.4412,MODVaginal,NAS_1,Birth_TPHE_C14,FALSE
0.1599,0.09369,1.707,0.08789,voi,NAS_1,Birth_TPHE_C14,FALSE
NA,NA,NA,0.12009215328371592,anova,NAS_1,Birth_TPHE_C14,NA
3.695,0.1049,35.21,0,log_alpha,NAS_1,Birth_TPHE_C15,FALSE
0.9682,0.1323,7.319,2.5e-13,log_beta,NAS_1,Birth_TPHE_C15,FALSE
-0.2026,0.2319,-0.8735,0.3824,MODVaginal,NAS_1,Birth_TPHE_C15,FALSE
0.08661,0.1024,0.8461,0.3975,voi,NAS_1,Birth_TPHE_C15,FALSE
NA,NA,NA,0.3816499313031433,anova,NAS_1,Birth_TPHE_C15,NA
3.698,0.1055,35.06,0,log_alpha,NAS_1,Birth_TPHE_C17,FALSE
0.9619,0.1323,7.272,3.531e-13,log_beta,NAS_1,Birth_TPHE_C17,FALSE
-0.1604,0.2293,-0.6996,0.4842,MODVaginal,NAS_1,Birth_TPHE_C17,FALSE
0.03051,0.09587,0.3183,0.7503,voi,NAS_1,Birth_TPHE_C17,FALSE
NA,NA,NA,0.7494169818184864,anova,NAS_1,Birth_TPHE_C17,NA
3.698,0.1054,35.09,0,log_alpha,NAS_1,Birth_TPHE_C21,FALSE
0.9628,0.1322,7.284,3.233e-13,log_beta,NAS_1,Birth_TPHE_C21,FALSE
-0.1849,0.2351,-0.7864,0.4316,MODVaginal,NAS_1,Birth_TPHE_C21,FALSE
0.05406,0.09932,0.5443,0.5862,voi,NAS_1,Birth_TPHE_C21,FALSE
NA,NA,NA,0.5768979249037582,anova,NAS_1,Birth_TPHE_C21,NA
