term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.244158735948341,0.15182775419728714,-14.78095192682788,5.7785191436030275e-25,NAS_1,OneYear_TPHE_C11,TRUE
MODVaginal,-0.3136981141176983,0.22354383316111068,-1.4032957638854318,0.164258753928721,NAS_1,OneYear_TPHE_C11,TRUE
voi,-0.058289619473603234,0.12078857209788149,-0.4825756150703397,0.6306674167707171,NAS_1,OneYear_TPHE_C11,TRUE
anova,NA,NA,NA,0.6188695139243503,NAS_1,OneYear_TPHE_C11,NA
(Intercept),-2.250953287137396,0.15311726086764332,-14.700846099141959,8.02032115716578e-25,NAS_1,OneYear_TPHE_C12,TRUE
MODVaginal,-0.2979509050881111,0.22517797683895752,-1.323179598958735,0.18940925482513207,NAS_1,OneYear_TPHE_C12,TRUE
voi,-0.04435427085146625,0.12317022459531979,-0.36010546377741703,0.7196829945837562,NAS_1,OneYear_TPHE_C12,TRUE
anova,NA,NA,NA,0.7150919692628573,NAS_1,OneYear_TPHE_C12,NA
(Intercept),-2.2470841672579116,0.15200178548892487,-14.783274815029316,5.723916133286958e-25,NAS_1,OneYear_TPHE_C13,TRUE
MODVaginal,-0.3137369502772737,0.22345341710438682,-1.4040373798835697,0.16403852472108885,NAS_1,OneYear_TPHE_C13,TRUE
voi,-0.10639298914328274,0.11470201908893518,-0.9275598632731132,0.35632542833475733,NAS_1,OneYear_TPHE_C13,TRUE
anova,NA,NA,NA,0.3489303939793644,NAS_1,OneYear_TPHE_C13,NA
(Intercept),-2.2472798698431617,0.1528074384519497,-14.706613058956675,7.833036207295163e-25,NAS_1,OneYear_TPHE_C14,TRUE
MODVaginal,-0.30682195668852313,0.22440009291396906,-1.3672987060934647,0.1752231760190709,NAS_1,OneYear_TPHE_C14,TRUE
voi,0.043935769613134404,0.10854221036635325,0.40478049474800404,0.6866801801708103,NAS_1,OneYear_TPHE_C14,TRUE
anova,NA,NA,NA,0.6858514061846319,NAS_1,OneYear_TPHE_C14,NA
(Intercept),-2.2463119135675464,0.15241265885322947,-14.738355268316019,6.878303440552583e-25,NAS_1,OneYear_TPHE_C15,TRUE
MODVaginal,-0.3043875173249535,0.22485786444404388,-1.3536885537783834,0.17951061044083064,NAS_1,OneYear_TPHE_C15,TRUE
voi,-0.021449512465777528,0.11372404098061563,-0.18861018550539915,0.8508587568105188,NAS_1,OneYear_TPHE_C15,TRUE
anova,NA,NA,NA,0.8507673776763625,NAS_1,OneYear_TPHE_C15,NA
(Intercept),-2.240493050538473,0.15206441351868835,-14.733842052158518,7.006546973353818e-25,NAS_1,OneYear_TPHE_C16,TRUE
MODVaginal,-0.3184885725381976,0.2248129012008705,-1.4166828097362074,0.16031812732476947,NAS_1,OneYear_TPHE_C16,TRUE
voi,0.04949283991330121,0.09653237216278229,0.5127071758874998,0.6095179927286745,NAS_1,OneYear_TPHE_C16,TRUE
anova,NA,NA,NA,0.6249531340363437,NAS_1,OneYear_TPHE_C16,NA
(Intercept),-2.2428889179744163,0.15242969081215751,-14.714252230153624,7.59171582735479e-25,NAS_1,OneYear_TPHE_C17,TRUE
MODVaginal,-0.32053872610177825,0.22486920073716252,-1.4254452146002807,0.15777847547830762,NAS_1,OneYear_TPHE_C17,TRUE
voi,0.07513614026126336,0.10946130742258746,0.6864173471927574,0.4943631440623222,NAS_1,OneYear_TPHE_C17,TRUE
anova,NA,NA,NA,0.49158160485660857,NAS_1,OneYear_TPHE_C17,NA
(Intercept),-2.2438119982416316,0.15211545169677018,-14.750717124480483,6.539018897082455e-25,NAS_1,OneYear_TPHE_C21,TRUE
MODVaginal,-0.31219387899175594,0.22402155076305882,-1.39358859863422,0.16716232692055183,NAS_1,OneYear_TPHE_C21,TRUE
voi,0.04519277538629109,0.11196797952826813,0.4036223175294633,0.6875284569504754,NAS_1,OneYear_TPHE_C21,TRUE
anova,NA,NA,NA,0.6862477296960463,NAS_1,OneYear_TPHE_C21,NA
(Intercept),-2.240988459354351,0.15169372689633717,-14.773112278306497,5.9667067123268655e-25,NAS_1,OneYear_TPHE_C22,TRUE
MODVaginal,-0.3221778033555967,0.22421862785612967,-1.4368913343021736,0.1545078697316823,NAS_1,OneYear_TPHE_C22,TRUE
voi,0.06863886148908298,0.11108660365121953,0.6178860387575585,0.5383421884751327,NAS_1,OneYear_TPHE_C22,TRUE
anova,NA,NA,NA,0.5330857301114561,NAS_1,OneYear_TPHE_C22,NA
