estimate,std.error,statistic,p.value,term,response,voi,produced_warning
0.1516,0.2507,0.6048,0.5453,MODVaginal,REC_2,OneYear_TPHE_CD8_C3,FALSE
-0.1107,0.02818,-3.929,8.548e-5,gaBirth,REC_2,OneYear_TPHE_CD8_C3,FALSE
-0.1585,0.1304,-1.215,0.2242,voi,REC_2,OneYear_TPHE_CD8_C3,FALSE
NA,NA,NA,0.21639493048564162,anova,REC_2,OneYear_TPHE_CD8_C3,NA
2.333,0.1339,17.43,0,log_alpha,REC_2,OneYear_TPHE_CD8_C5,FALSE
0.806,0.1505,5.357,8.462e-8,log_beta,REC_2,OneYear_TPHE_CD8_C5,FALSE
0.1537,0.2622,0.5862,0.5578,MODVaginal,REC_2,OneYear_TPHE_CD8_C5,FALSE
-0.1183,0.02951,-4.009,6.089e-5,gaBirth,REC_2,OneYear_TPHE_CD8_C5,FALSE
-0.03644,0.107,-0.3405,0.7335,voi,REC_2,OneYear_TPHE_CD8_C5,FALSE
NA,NA,NA,0.7271315013657351,anova,REC_2,OneYear_TPHE_CD8_C5,NA
2.332,0.1362,17.12,0,log_alpha,REC_2,OneYear_TPHE_CD8_C6,FALSE
0.8026,0.1501,5.345,9.031e-8,log_beta,REC_2,OneYear_TPHE_CD8_C6,FALSE
0.1674,0.2914,0.5747,0.5655,MODVaginal,REC_2,OneYear_TPHE_CD8_C6,FALSE
-0.1165,0.03117,-3.738,1.858e-4,gaBirth,REC_2,OneYear_TPHE_CD8_C6,FALSE
0.006439,0.1276,0.05045,0.9598,voi,REC_2,OneYear_TPHE_CD8_C6,FALSE
NA,NA,NA,0.9596502185289723,anova,REC_2,OneYear_TPHE_CD8_C6,NA
2.341,0.1371,17.07,0,log_alpha,REC_2,OneYear_TPHE_CD8_C7,FALSE
0.819,0.1507,5.433,5.55e-8,log_beta,REC_2,OneYear_TPHE_CD8_C7,FALSE
0.2011,0.3013,0.6675,0.5045,MODVaginal,REC_2,OneYear_TPHE_CD8_C7,FALSE
-0.1132,0.03437,-3.294,9.865e-4,gaBirth,REC_2,OneYear_TPHE_CD8_C7,FALSE
0.1168,0.1117,1.046,0.2956,voi,REC_2,OneYear_TPHE_CD8_C7,FALSE
NA,NA,NA,0.3074033829361641,anova,REC_2,OneYear_TPHE_CD8_C7,NA
2.328,0.1318,17.66,0,log_alpha,REC_2,OneYear_TPHE_CD8_C8,FALSE
0.8239,0.1511,5.452,4.99e-8,log_beta,REC_2,OneYear_TPHE_CD8_C8,FALSE
0.1537,0.2612,0.5885,0.5562,MODVaginal,REC_2,OneYear_TPHE_CD8_C8,FALSE
-0.1185,0.02953,-4.012,6.023e-5,gaBirth,REC_2,OneYear_TPHE_CD8_C8,FALSE
-0.1426,0.1332,-1.071,0.2841,voi,REC_2,OneYear_TPHE_CD8_C8,FALSE
NA,NA,NA,0.2643533515380957,anova,REC_2,OneYear_TPHE_CD8_C8,NA
2.332,0.1376,16.95,0,log_alpha,REC_2,OneYear_TPHE_CD8_C9,FALSE
0.8048,0.1504,5.352,8.704e-8,log_beta,REC_2,OneYear_TPHE_CD8_C9,FALSE
0.1506,0.3082,0.4886,0.6251,MODVaginal,REC_2,OneYear_TPHE_CD8_C9,FALSE
-0.1175,0.03409,-3.448,5.645e-4,gaBirth,REC_2,OneYear_TPHE_CD8_C9,FALSE
