term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.3080737068514843,0.29825188200319463,-7.738672733091964,1.0045999805275755e-14,REC_2,Birth_TPHE_CD8_C10,TRUE
MODVaginal,-0.7336180392819219,0.42196878550116707,-1.7385599705215469,0.0821121927811661,REC_2,Birth_TPHE_CD8_C10,TRUE
voi,0.2655313623919356,0.21632103855463836,1.2274874610722049,0.21963943175864714,REC_2,Birth_TPHE_CD8_C10,TRUE
anova,NA,NA,NA,0.20343000489019983,REC_2,Birth_TPHE_CD8_C10,NA
(Intercept),-2.2901796898674562,0.2953050835124336,-7.755300594989689,8.813446263975471e-15,REC_2,Birth_TPHE_CD8_C12,TRUE
MODVaginal,-0.7749626197544335,0.4205109157104255,-1.8429072606716645,0.06534255202724921,REC_2,Birth_TPHE_CD8_C12,TRUE
voi,-0.08244752219230622,0.21082694080081063,-0.39106729851097477,0.6957474916965198,REC_2,Birth_TPHE_CD8_C12,TRUE
anova,NA,NA,NA,0.6807939189059539,REC_2,Birth_TPHE_CD8_C12,NA
(Intercept),-2.2930096589047837,0.2952000592271708,-7.767646337564591,7.99579385375971e-15,REC_2,Birth_TPHE_CD8_C13,TRUE
MODVaginal,-0.7684806412526388,0.4200865281348629,-1.8293389332540768,0.06734884962833841,REC_2,Birth_TPHE_CD8_C13,TRUE
voi,0.05169826026501611,0.208251412768014,0.24824926552890406,0.8039415506787683,REC_2,Birth_TPHE_CD8_C13,TRUE
anova,NA,NA,NA,0.795040090734239,REC_2,Birth_TPHE_CD8_C13,NA
(Intercept),-2.3102813813950003,0.29487931509272775,-7.834667483097311,4.700850850303912e-15,REC_2,Birth_TPHE_CD8_C14,TRUE
MODVaginal,-0.7360433516696074,0.41989166804097666,-1.7529363111767629,0.07961293989862656,REC_2,Birth_TPHE_CD8_C14,TRUE
voi,-0.11386043680463136,0.2114922080960103,-0.5383670529977282,0.5903236676299696,REC_2,Birth_TPHE_CD8_C14,TRUE
anova,NA,NA,NA,0.5857619009511992,REC_2,Birth_TPHE_CD8_C14,NA
(Intercept),-2.299287254228407,0.29518158840202147,-7.789399286980261,6.732852423271984e-15,REC_2,Birth_TPHE_CD8_C15,TRUE
MODVaginal,-0.7522802684596815,0.418355436291418,-1.7981845177593394,0.07214777219126374,REC_2,Birth_TPHE_CD8_C15,TRUE
voi,-0.15275888834268558,0.20951438225100255,-0.7291093179449479,0.465934795262258,REC_2,Birth_TPHE_CD8_C15,TRUE
anova,NA,NA,NA,0.45447998152420677,REC_2,Birth_TPHE_CD8_C15,NA
(Intercept),-2.3292284597873083,0.29950398769862524,-7.776953080608348,7.429214442962566e-15,REC_2,Birth_TPHE_CD8_C17,TRUE
MODVaginal,-0.7593674287888544,0.42254105273771453,-1.7971447362777775,0.07231264520245537,REC_2,Birth_TPHE_CD8_C17,TRUE
voi,-0.4750253929776641,0.4092222321339086,-1.160800552063415,0.2457230184408005,REC_2,Birth_TPHE_CD8_C17,TRUE
anova,NA,NA,NA,0.1168202437411756,REC_2,Birth_TPHE_CD8_C17,NA
(Intercept),-2.3002150853400822,0.29466095370211604,-7.806311139770005,5.888610230115647e-15,REC_2,Birth_TPHE_CD8_C18,TRUE
MODVaginal,-0.7549251515034601,0.4183582254474669,-1.804494582832711,0.07115380763127924,REC_2,Birth_TPHE_CD8_C18,TRUE
voi,-0.04082167646047945,0.2118274548703183,-0.19271192436065787,0.84718458421897,REC_2,Birth_TPHE_CD8_C18,TRUE
anova,NA,NA,NA,0.8457410539069384,REC_2,Birth_TPHE_CD8_C18,NA
(Intercept),-2.3280935770428557,0.29955942008754405,-7.771725477244172,7.742410707397248e-15,REC_2,Birth_TPHE_CD8_C19,TRUE
MODVaginal,-0.7703298201385544,0.4225324155850274,-1.8231259702808262,0.06828431404626074,REC_2,Birth_TPHE_CD8_C19,TRUE
voi,-0.49729680070266863,0.45886591659606674,-1.0837518820131329,0.2784748251488286,REC_2,Birth_TPHE_CD8_C19,TRUE
anova,NA,NA,NA,0.13721440882288033,REC_2,Birth_TPHE_CD8_C19,NA
(Intercept),-2.248398299575617,0.30585337802609197,-7.351229252677435,1.9639224272896324e-13,REC_2,Birth_TPHE_CD8_C20,TRUE
MODVaginal,-0.8247056613726916,0.43096692068862635,-1.9136170823851735,0.05566910073842775,REC_2,Birth_TPHE_CD8_C20,TRUE
voi,0.46344048207870503,0.24916752563929037,1.8599553890084732,0.06289183782155378,REC_2,Birth_TPHE_CD8_C20,TRUE
anova,NA,NA,NA,0.0401528970980786,REC_2,Birth_TPHE_CD8_C20,NA
(Intercept),-2.3071777313202824,0.2965847348784374,-7.779151992653756,7.301229949585503e-15,REC_2,Birth_TPHE_CD8_C21,TRUE
MODVaginal,-0.739058386238577,0.42005280029992836,-1.7594416361725729,0.07850252521053726,REC_2,Birth_TPHE_CD8_C21,TRUE
voi,0.1637861750344297,0.2204404967311923,0.7429949463149345,0.45748474009098944,REC_2,Birth_TPHE_CD8_C21,TRUE
anova,NA,NA,NA,0.43745696368545794,REC_2,Birth_TPHE_CD8_C21,NA
(Intercept),-2.351511483077988,0.3046516047420109,-7.7186906173342695,1.175307948547314e-14,REC_2,Birth_TPHE_CD8_C22,TRUE
MODVaginal,-0.7194672741474685,0.4197973888186209,-1.7138440907699977,0.08655736340144712,REC_2,Birth_TPHE_CD8_C22,TRUE
voi,-0.496244512356902,0.7189397400135203,-0.6902449325552231,0.4900401712667534,REC_2,Birth_TPHE_CD8_C22,TRUE
anova,NA,NA,NA,0.2187258666168412,REC_2,Birth_TPHE_CD8_C22,NA
(Intercept),-2.284981003568381,0.302725538099618,-7.54802854728583,4.418960802902525e-14,REC_2,Birth_TPHE_CD8_C23,TRUE
MODVaginal,-0.7956582109495767,0.42793549948851595,-1.8592947112370353,0.06298537624174733,REC_2,Birth_TPHE_CD8_C23,TRUE
voi,-0.3667903575485769,0.2215349667190139,-1.6556770381706791,0.09778723974837285,REC_2,Birth_TPHE_CD8_C23,TRUE
anova,NA,NA,NA,0.08048286496151016,REC_2,Birth_TPHE_CD8_C23,NA
(Intercept),-2.3128620700819957,0.29602764883973215,-7.812993411754479,5.584551654114919e-15,REC_2,Birth_TPHE_CD8_C24,TRUE
MODVaginal,-0.7306706824841847,0.4203233004830701,-1.738353980482257,0.08214846021277736,REC_2,Birth_TPHE_CD8_C24,TRUE
voi,0.18340706800347936,0.2192927317159503,0.8363572589402845,0.40295394983766286,REC_2,Birth_TPHE_CD8_C24,TRUE
anova,NA,NA,NA,0.38677085161535213,REC_2,Birth_TPHE_CD8_C24,NA
