estimate,std.error,statistic,p.value,term,response,voi,produced_warning
NA,NA,NA,0.2006006616134698,anova,REC_2,Birth_CD4_C12,NA
2.245,0.148,15.17,0,log_alpha,REC_2,Birth_CD4_C13,FALSE
0.6916,0.1474,4.693,2.688e-6,log_beta,REC_2,Birth_CD4_C13,FALSE
0.06899,0.2926,0.2358,0.8136,MODVaginal,REC_2,Birth_CD4_C13,FALSE
-0.2555,0.1636,-1.561,0.1185,voi,REC_2,Birth_CD4_C13,FALSE
NA,NA,NA,0.13385146551456661,anova,REC_2,Birth_CD4_C13,NA
2.295,0.1487,15.43,0,log_alpha,REC_2,Birth_CD4_C14,FALSE
0.6584,0.146,4.509,6.5e-6,log_beta,REC_2,Birth_CD4_C14,FALSE
0.1536,0.2986,0.5144,0.6069,MODVaginal,REC_2,Birth_CD4_C14,FALSE
-0.1232,0.1398,-0.8812,0.3782,voi,REC_2,Birth_CD4_C14,FALSE
NA,NA,NA,0.378366982458924,anova,REC_2,Birth_CD4_C14,NA
2.295,0.1407,16.31,0,log_alpha,REC_2,Birth_CD4_C15,FALSE
0.7073,0.1465,4.828,1.381e-6,log_beta,REC_2,Birth_CD4_C15,FALSE
0.1202,0.2865,0.4196,0.6747,MODVaginal,REC_2,Birth_CD4_C15,FALSE
-0.2988,0.1477,-2.023,0.04308,voi,REC_2,Birth_CD4_C15,FALSE
NA,NA,NA,0.04758047812357935,anova,REC_2,Birth_CD4_C15,NA
2.301,0.1448,15.89,0,log_alpha,REC_2,Birth_CD4_C16,FALSE
0.6754,0.1466,4.608,4.067e-6,log_beta,REC_2,Birth_CD4_C16,FALSE
0.1446,0.2928,0.4938,0.6214,MODVaginal,REC_2,Birth_CD4_C16,FALSE
-0.1822,0.146,-1.248,0.2122,voi,REC_2,Birth_CD4_C16,FALSE
NA,NA,NA,0.21804444679,anova,REC_2,Birth_CD4_C16,NA
2.269,0.1484,15.29,0,log_alpha,REC_2,Birth_CD4_C17,FALSE
0.6741,0.146,4.618,3.88e-6,log_beta,REC_2,Birth_CD4_C17,FALSE
0.1756,0.2963,0.5926,0.5534,MODVaginal,REC_2,Birth_CD4_C17,FALSE
0.196,0.1358,1.443,0.1489,voi,REC_2,Birth_CD4_C17,FALSE
NA,NA,NA,0.14433268526730347,anova,REC_2,Birth_CD4_C17,NA
