estimate,std.error,statistic,p.value,term,response,voi,produced_warning
3.818,0.09412,40.57,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C18,FALSE
0.9584,0.1159,8.269,2.22e-16,log_beta,NAS_1,Discharge_TPHE_CD8_C18,FALSE
-0.3096,0.1942,-1.594,0.1109,MODVaginal,NAS_1,Discharge_TPHE_CD8_C18,FALSE
-0.02471,0.01961,-1.26,0.2077,gaBirth,NAS_1,Discharge_TPHE_CD8_C18,FALSE
0.02323,0.07953,0.2921,0.7702,voi,NAS_1,Discharge_TPHE_CD8_C18,FALSE
NA,NA,NA,0.7692295871764177,anova,NAS_1,Discharge_TPHE_CD8_C18,NA
3.816,0.09486,40.23,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C21,FALSE
0.9578,0.1153,8.305,0,log_beta,NAS_1,Discharge_TPHE_CD8_C21,FALSE
-0.3369,0.1971,-1.709,0.08745,MODVaginal,NAS_1,Discharge_TPHE_CD8_C21,FALSE
-0.02709,0.01985,-1.365,0.1724,gaBirth,NAS_1,Discharge_TPHE_CD8_C21,FALSE
0.08121,0.09082,0.8941,0.3713,voi,NAS_1,Discharge_TPHE_CD8_C21,FALSE
NA,NA,NA,0.3646509266096668,anova,NAS_1,Discharge_TPHE_CD8_C21,NA
3.819,0.09392,40.66,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C23,FALSE
0.96,0.1161,8.27,2.22e-16,log_beta,NAS_1,Discharge_TPHE_CD8_C23,FALSE
-0.326,0.1953,-1.669,0.09512,MODVaginal,NAS_1,Discharge_TPHE_CD8_C23,FALSE
-0.0266,0.01987,-1.339,0.1806,gaBirth,NAS_1,Discharge_TPHE_CD8_C23,FALSE
0.03999,0.0908,0.4405,0.6596,voi,NAS_1,Discharge_TPHE_CD8_C23,FALSE
NA,NA,NA,0.6669599747665732,anova,NAS_1,Discharge_TPHE_CD8_C23,NA
3.818,0.09191,41.54,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C24,FALSE
0.9816,0.1164,8.43,0,log_beta,NAS_1,Discharge_TPHE_CD8_C24,FALSE
-0.3698,0.1919,-1.926,0.05405,MODVaginal,NAS_1,Discharge_TPHE_CD8_C24,FALSE
-0.0296,0.01949,-1.519,0.1289,gaBirth,NAS_1,Discharge_TPHE_CD8_C24,FALSE
-0.1416,0.09384,-1.509,0.1313,voi,NAS_1,Discharge_TPHE_CD8_C24,FALSE
NA,NA,NA,0.13459061050630583,anova,NAS_1,Discharge_TPHE_CD8_C24,NA
3.727,0.1077,34.61,0,log_alpha,NAS_1,OneYear_TPHE_CD8_C1,FALSE
0.9201,0.1259,7.308,2.72e-13,log_beta,NAS_1,OneYear_TPHE_CD8_C1,FALSE
-0.3065,0.2175,-1.409,0.1589,MODVaginal,NAS_1,OneYear_TPHE_CD8_C1,FALSE
-0.03789,0.02283,-1.66,0.09701,gaBirth,NAS_1,OneYear_TPHE_CD8_C1,FALSE
