SampleID	PC1
K160V4D4.04	-0.046928077
K160VSFD.04	-0.288592397
K160VWML.04	-0.299792878
K160WTHP.04	-0.196518319
A160S8JY.04	0.222286721
A160SL0H.04	0.170042284
A160SPVJ.04	0.29861762
A160SS7H.04	0.269715532
A160SYWG.04	0.241772481
A160T0P6.04	0.156299265
A160TCFC.04	-0.322719748
A160TVXG.04	-0.164766014
A160V57J.04	-0.316617126
A160VFYG.04	-0.235001714
A160VT5K.04	-0.277028417
A160VT6V.04	-0.327873325
A160W62T.04	0.184542593
A160WBC6.04	-0.36987756
A160WJ84.04	-0.211256989
B160QM3Z.04	0.233680563
B160SN73.04	0.168075658
B160SNMY.04	-0.160232247
B160SQ2J.04	0.284111891
B160T1TH.04	-0.213977789
B160TSS7.04	-0.307050744
B160TYH9.04	-0.115511182
B160V2HM.04	-0.128814525
B160W5LV.04	-0.29163598
B160WCHZ.04	-0.216773229
B160WJ6V.04	-0.220689527
B160WXG3.04	-0.106856771
C160Q6KY.04	0.328655027
C160S6ZB.04	0.375029166
C160SKNW.04	0.33021265
C160SMP3.04	0.372575999
C160SN59.04	0.143524252
C160SQR4.04	0.302161723
C160SWR8.04	-0.362962722
C160SYY8.04	0.247643433
C160T53D.04	-0.32518916
C160TZK8.04	-0.063156997
C160V63R.04	-0.364555694
C160VH7K.04	0.002876798
C160VTD7.04	-0.268407074
C160VXQD.04	-0.051074986
C160W4CX.04	-0.331179931
C160WH8H.04	-0.288564195
D160SJHM.04	-0.13628869
D160SNK1.04	0.315039931
D160SSL7.04	-0.321686013
D160STSX.04	0.316760592
D160SX0D.04	-0.180182724
D160T0RX.04	-0.333877379
D160TC82.04	-0.337674705
D160TMKJ.04	0.214046899
D160V98N.04	0.144879824
D160V9NW.04	-0.179518682
D160VVXW.04	-0.345894912
D160W0FH.04	0.007409385
D160W7Z2.04	0.154177001
D160WGZB.04	0.044385359
D160X6VC.04	0.179806781
E160S5PQ.04	0.253099406
E160SCJM.04	0.314928963
E160SMFN.04	0.364545665
E160SMN6.04	-0.187103797
E160SNX9.04	0.348538075
E160STQV.04	0.280447754
E160SWFX.04	0.254670752
E160SWJM.04	0.304930608
E160T6RX.04	-0.30866773
E160T87X.04	0.083843664
E160T9NN.04	-0.325790066
E160V00P.04	-0.202757902
E160VB80.04	-0.121257413
E160VWHL.04	-0.092147562
E160W4JT.04	-0.153977071
E160WX4S.04	0.119078555
E160X7ZB.04	-0.31829277
F160SC25.04	0.180805661
F160SNGB.04	0.306410661
F160SRH1.04	-0.364338271
F160SS3T.04	0.140374421
F160SS99.04	0.127703337
F160SXL7.04	0.180612183
F160TG7J.04	0.031076787
F160V1LF.04	-0.005314556
G160SR83.04	0.345392317
G160SS5P.04	0.336152763
G160SV7J.04	0.312585207
G160T0HF.04	0.209171912
G160T165.04	0.079276588
G160T3KL.04	-0.090488035
G160T4B4.04	0.238200276
G160TDK8.04	-0.251590488
G160TGDB.04	-0.138854405
G160TJ8P.04	-0.096708892
G160TYJ6.04	-0.209648564
G160V0S2.04	-0.311003391
G160VJ7J.04	-0.110900241
G160VY6B.04	0.138528549
G160VZKY.04	-0.087023875
G160W0DL.04	-0.328559109
G160W0VF.04	-0.342647564
H160SX80.04	0.122889278
H160SXKB.04	0.327728611
H160T0LB.04	0.239968262
H160V2JJ.04	-0.28449883
H160V6XZ.04	-0.238636259
H160VYZZ.04	-0.074023599
H160W3YD.04	-0.213054078
H160WH7L.04	-0.353059058
J160S707.04	0.363818137
J160SM6S.04	0.237821968
J160SQ13.04	0.29505007
J160T222.04	0.232589922
J160T7Q5.04	-0.337483815
J160TF03.04	0.184649957
J160TJQK.04	-0.358549566
J160TK82.04	-0.208071826
J160TY25.04	-0.336109155
J160TYYM.04	-0.372914023
J160WMY0.04	-0.162808595
J160WXF6.04	-0.303285349
K160STPK.04	-0.135570897
K160SVPT.04	-0.154614197
K160T215.04	0.244757883
K160TBG1.04	-0.281923481
K160TF10.04	-0.018537556
K160TK8Z.04	0.159316773
K160TXRQ.04	-0.251411743
K160V3VK.04	-0.321685054
K160VB73.04	0.174129748
K160VWKS.04	-0.236347413
K160W2Z0.04	-0.231511974
A160SKXQ.04	-0.210838927
A160SPB0.04	-0.164682352
A160SSR7.04	-0.330680299
A160T2XJ.04	0.229689987
A160V3WG.04	-0.156400511
A160VBPZ.04	0.154848094
A160VCTN.04	-0.284783711
A160VTGR.04	-0.247549527
B160SV5C.04	-0.052292991
B160SW2S.04	-0.04053933
B160TMLF.04	-0.170533039
C160SHGQ.04	-0.091618487
C160SJKF.04	-0.057779587
C160SM92.04	-0.219541204
C160ST4X.04	-0.344317761
C160SXP0.04	-0.161856003
C160T0JB.04	-0.223988253
C160T0ST.04	-0.161901917
D160SWLF.04	-0.067931896
D160T3ZG.04	-0.108650026
D160T9RQ.04	0.238538562
D160TYWT.04	0.1156588
D160V6NT.04	-0.13335948
E160SLNC.04	-0.226298637
E160SPNT.04	0.177643907
E160SWQC.04	-0.293069239
E160V5RF.04	-0.113327877
F160SJVL.04	-0.010033096
F160SZDV.04	-0.143486975
F160T77G.04	-0.25194462
F160TD5W.04	-0.264560842
F160TDL5.04	-0.349247702
F160VWJH.04	0.066366277
G160QNB9.04	0.27024191
G160SHHM.04	0.22739475
G160SPZ4.04	0.362409412
G160SSZ3.04	0.044237289
G160SWXG.04	-0.264994051
G160SXRX.04	-0.138247127
G160T8KL.04	-0.10098495
G160TY84.04	-0.19033539
G160V0G7.04	-0.241942273
G160V14Z.04	-0.325497887
H160SXVM.04	-0.015474003
H160T0FM.04	-0.34671914
H160T1KX.04	-0.176862848
H160T3C8.04	-0.044345208
H160T497.04	-0.34413154
H160T71D.04	-0.168641203
H160TDGL.04	-0.190390614
H160TFN2.04	0.036176613
H160TLGX.04	-0.293084526
H160VWG9.04	-0.102717813
J160SKQT.04	-0.256897213
J160SR5T.04	-0.131876254
J160STZ7.04	-0.201100739
J160SWMB.04	0.179687259
J160T25P.04	-0.302316464
J160VVBP.04	-0.272726621
K160T0Z4.04	-0.216151887
K160T4P2.04	0.134527793
K160TKMG.04	-0.251817746
K160TN45.04	-0.077656606
K160TVYH.04	0.061322104
K160TXSM.04	-0.337737558
K160TYXQ.04	0.243943168
K160V0Y9.04	0.106525655
A160PNVS.04	0.270420565
A160PSB7.04	0.37441905
C160PHZT.04	0.273926372
C160PQRM.04	0.273258051
C160VNPK.04	-0.222983324
D160R45Y.04	0.33042004
D160R9F0.04	0.264915195
D160RFQ0.04	-0.074142619
E160PFPV.04	0.200877527
F160P2XB.04	0.294691941
F160PLMM.04	0.294973504
G160RCQ5.04	0.358331515
H160R33G.04	0.286073752
H160RCRZ.04	0.117021321
K160RDL9.04	-0.063797493
K160RFXX.04	0.38176793
B160SCVS.04	-0.030774465
B160SH04.04	0.270131415
C160RV0W.04	0.006085313
C160S43N.04	-0.247872547
D160S5VH.04	0.250987952
D160SCPY.04	-0.147022715
