"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"H160RWC7.04",0.000199249989922045,0.012041005967991,0.905691135085206,0.00307728939056736,0.000102757352590151,0.00017383616253581,5.14796952081765e-09,4.1717254822147e-06,0.0031618357875497,1.78289884860345e-11,0.0755486656430005,4.76022975477684e-08,1.27059080665318e-10
"H160RXJ3.04",0.96549297620518,0.00120635541140339,0.00071784216126288,0.0317371865992959,1.92681917928252e-17,0.000832480032478841,1.70996367384962e-13,2.14706054496577e-16,1.31125304969884e-05,6.7729159574467e-19,1.73707315118629e-11,2.39367357271483e-08,2.31056041473839e-08
"H160SQJD.04",2.16129608232472e-10,3.32053533833306e-06,0.996766469635207,1.00357403862009e-09,0.00102608697425012,1.3003293974348e-12,8.31395518513319e-17,1.0153475428585e-10,6.06338706998969e-10,1.42605808250423e-19,0.00220412049248976,4.33837222568413e-10,1.87594804470831e-25
"H160T35M.04",3.59233603806437e-05,1.75045075020963e-05,0.999918528642984,8.9568844795954e-07,1.64053003682917e-07,5.84148284576891e-13,1.06509802149212e-14,1.81522227147782e-11,1.17640915424821e-07,6.73262776145824e-18,2.68652477313332e-05,8.40287856662122e-10,7.29686736558302e-24
"H160T8W8.04",2.70497701688518e-11,0.00403903524411663,0.00022415409883916,0.000591673755230046,1.37483900066014e-14,0.99504583748902,9.47074220591697e-06,3.74502680543449e-07,1.01130548983435e-12,3.70211149774757e-11,2.88996626907047e-10,1.38802003373121e-11,8.94537999347895e-05
"H160TXB0.04",1.05435866999892e-31,5.85293486933659e-21,1.57012652652429e-07,2.10996167857765e-22,0.999998924144107,7.26581198809973e-17,6.13622388057067e-27,2.83022268218026e-10,1.73284872856693e-18,4.88909064788022e-18,9.18560216826023e-07,3.88106406186767e-25,1.23748788185125e-15
"H160V1KJ.04",5.16037913989761e-29,1.5390743190571e-15,6.43108235812619e-07,2.84339713485555e-21,0.986621955210631,6.10849818057929e-17,7.27172554667822e-19,5.80379176065589e-09,1.58983720094924e-18,4.28403105293832e-21,0.0133773958773397,1.52955340819274e-21,1.85641477620513e-23
"H160V4XM.04",1.7687845379545e-15,2.50022378533321e-05,0.00176305392913802,9.3476169233464e-09,8.27452652795076e-18,9.70589775075985e-13,0.000705656969024921,0.997506277473905,6.85645526542085e-14,1.73434019913519e-19,1.89640158358674e-16,4.14206511785043e-11,7.22958262629928e-31
"H160V4YJ.04",5.73579139543599e-19,6.68164865820501e-13,0.000726508692213243,2.53514769692718e-18,0.0121114934651283,2.65077549283757e-14,6.85911501126703e-09,0.489012755583687,1.3324849310683e-11,3.27894046273076e-19,0.498149235385837,2.04466036151298e-17,7.81372259113605e-24
"H160V5DD.04",1.32350082007128e-15,3.10980909768006e-09,0.000126322619964374,1.61502568626219e-14,2.24540528181539e-05,5.54230807262908e-11,1.18851118790818e-09,6.19015434403056e-05,5.38314998360185e-16,2.18524896812026e-18,0.999789317430014,1.6446398619788e-15,3.04623500992789e-17
