"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"H160THMR.03",6.69707248496635e-42,3.34733676020092e-23,0.99867699250637,4.43936284645326e-60,4.10403782194267e-08,0.00132030205399166,1.07621829079003e-07,1.08844190742046e-06,2.57600152240531e-13,1.46828979813566e-06,1.80394911187281e-14,4.54501223731725e-11,2.68511111188731e-18
"H160TJ5P.03",0.999971300812254,2.43636041732275e-05,1.68865730721391e-32,4.324698391421e-06,5.91856008409986e-24,4.99910187249728e-29,7.57107510559633e-58,6.08193895329508e-22,1.08851813609634e-08,3.67665559019507e-19,7.3796588247862e-45,9.36029188335725e-56,6.20649923088625e-64
"H160TQQ3.03",0.848195450726533,0.151801963118994,1.09072504217013e-23,2.50654405920676e-06,2.92969222790001e-16,1.52641689110906e-26,3.18147992894414e-46,1.00091553993853e-18,7.96069984962283e-08,3.41469327810441e-12,5.56893561554229e-38,4.87127708400681e-51,3.60404527366206e-55
"H160TVHF.03",1.29940971644371e-05,3.13596886451535e-13,1.97278391824965e-40,0.999987005902499,6.08881505022671e-31,5.79740520376e-36,7.04490321840334e-65,5.82724628114428e-26,2.33030301149711e-14,4.2845258487586e-31,1.31405954938363e-48,4.65365250855327e-60,6.27962260747894e-69
"H160WCL7.03",8.135716470367e-62,1.34218740496571e-37,0.996419448750679,4.89099794860914e-80,9.66076754200273e-20,0.00293908106625238,8.2882583431941e-13,0.000182987219308821,7.43930931234784e-20,1.82425390563097e-14,1.67010030469754e-22,0.000458482962912562,1.49410812987638e-30
"H160WN08.03",1.07371979863298e-52,4.82584869933956e-35,2.208312798447e-06,6.97768572259785e-66,1.40676929855997e-27,0.000925002211799597,1.46850318488641e-24,0.99783812942145,8.08984204066273e-16,3.1726225606298e-16,2.07286342114477e-36,0.00123466005395038,9.3005792818064e-40
"H160WS9F.03",1.67627218791329e-43,6.66320358386123e-24,0.998197501178652,2.22874377787592e-61,2.20951920685934e-06,0.00175471195923868,4.29208449897063e-05,3.65096646031993e-08,3.4414141760919e-12,4.66529485068036e-08,2.57333182867644e-06,2.91376734487271e-14,4.37436771745865e-22
"H160X0M4.03",3.3459399626944e-73,2.46487736464828e-43,0.86643109520903,1.30459736010674e-92,1.47685673364739e-20,0.131379787512103,1.65033449923649e-08,2.38923217446389e-08,8.41283504477632e-25,3.32044446099766e-17,1.61255837361153e-18,0.00218907688319992,2.53710907423917e-29
"J160T03M.03",3.10119032432043e-22,1.15153411826723e-14,4.2863824238311e-13,1.09822382946486e-22,4.84008808703906e-14,7.58308307693242e-05,9.37712693823877e-27,0.00309582773512468,0.996828341433597,2.15205365381706e-15,3.72304032779405e-21,1.84274152770882e-14,2.23924254896576e-24
"J160T0QK.03",1.87849422810764e-05,2.00450973675385e-13,1.27887145331546e-40,0.99998121505747,2.95384193378834e-31,7.58882768353107e-36,2.35943453906588e-65,6.68185569916529e-25,4.85632708052082e-14,2.12407036380275e-30,1.32749305992989e-49,1.70662887074924e-59,1.64052824646278e-67
"J160T95F.03",1.9371172455057e-47,2.6518450278499e-27,4.24869876515567e-05,1.30292945948827e-61,1.40975654867606e-25,2.43857876190987e-08,2.19095469572069e-29,0.99995748825626,9.6328540111454e-17,3.70299232405927e-10,8.16838550334085e-36,1.99777268424576e-15,1.17251970354345e-17
